Catch Year,Species Code,Species Name,Gear Code,Gear Name,SMA,NAFO Division,Quota,Quota Name,Unit Wt.,Qta Amt,Landed RW,Number of Animals,Landed Value,Discard Dead,Dumped Round,Discard Alive,# of Fishers,# of Vessels,# of Buyers,# of Trips
2001,130,Halibut,59,Hand Line (Baited),3PS,3PS,17301,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,0.38,0,2039.86,0.01,0,0,1,1,1,1
2001,130,Halibut,59,Hand Line (Baited),3PS,3PS,19139,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,29,0.48,0,2619.95,0,0,0,8,8,5,9
2002,130,Halibut,12,Bottom Otter Trawl (stern),3L,3N,19776,3L Atlantic Halibut >100',Tonnes,0,0,0,0,0,0,0,1,1,1,1
2002,130,Halibut,12,Bottom Otter Trawl (stern),3L,3N,21507,3L Atlantic Halibut >100',Tonnes,0,0.11,0,641.97,0,0,0.02,1,5,2,5
2002,130,Halibut,12,Bottom Otter Trawl (stern),3L,3O,21507,3L Atlantic Halibut >100',Tonnes,0,0,0,1.8,0,0,0,1,1,1,1
2002,130,Halibut,12,Bottom Otter Trawl (stern),3O,3N,19819,3NO Atlantic Halibut Vessels >100',Tonnes,0,0.01,0,63,0,0,0,1,1,1,1
2002,130,Halibut,12,Bottom Otter Trawl (stern),3O,3N,21550,3NO Atlantic Halibut Vessels >100',Tonnes,0,10.05,0,57793.4,0.23,0,0.08,2,12,3,88
2002,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,19819,3NO Atlantic Halibut Vessels >100',Tonnes,0,0.68,0,3783.82,0,0,0,3,6,2,7
2002,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,21288,3NO Atlantic Halibut Mobile Gear < 65',Tonnes,4,4.87,0,27912.69,0,0,0,9,10,5,40
2002,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,21550,3NO Atlantic Halibut Vessels >100',Tonnes,0,1.19,0,6620.24,0,0,0,3,13,3,24
2002,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,23098,3NO Atlantic Halibut Mobile Gear 65'-100',Tonnes,0,0.05,0,262.5,0,0,0,1,1,1,1
2002,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,23101,3NO Atlantic Halibut Mobile Gear 65'-100',Tonnes,0,0.21,0,1245,0,0,0,1,1,1,6
2002,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,19140,3Ps Atlantic Halibut  Mobile Gear < 65' ,Tonnes,4,0,0,0,0,0,0,1,1,1,1
2002,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,19822,3Ps Atlantic Halibut Vessels >100',Tonnes,0,3.26,0,18669.76,0.01,0,0,3,10,3,24
2002,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,20891,3Ps Atlantic Halibut  Mobile Gear < 65' ,Tonnes,4,1.18,0,6434.6,0,0,0,5,5,5,9
2002,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,21553,3Ps Atlantic Halibut >100',Tonnes,0,0.32,0,1771.4,0.03,0,0,2,2,3,4
2002,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,23102,3Ps Atlantic Halibut Mobile Gear 65'-100',Tonnes,0,1.24,0,7183.5,0,0,0,1,1,1,3
2002,130,Halibut,15,Midwater Trawl (stern),3PS,3PS,19822,3Ps Atlantic Halibut Vessels >100',Tonnes,0,0.02,0,137.98,0,0,0,1,1,1,1
2002,130,Halibut,21,Danish Seine,3PS,3PS,20891,3Ps Atlantic Halibut  Mobile Gear < 65' ,Tonnes,4,0.01,0,63,0,0,0,1,1,1,1
2002,130,Halibut,22,Scottish Seine,3O,3N,21550,3NO Atlantic Halibut Vessels >100',Tonnes,0,0.03,0,147,0,0,0,1,1,2,2
2002,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,21287,3NO Atlantic Halibut Fixed Gear < 65',Tonnes,63,44.7,0,256633.08,1.41,0,0,34,34,16,126
2002,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,23128,3NO Atlantic Halibut Scandinavian L/L,Tonnes,0,35.38,0,205253.95,0,0,0,2,2,2,6
2002,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,23130,3NO Atlantic Halibut Scandinavian L/L,Tonnes,0,6.94,0,40263.02,0.04,0,0,1,1,1,1
2002,130,Halibut,41,Gill Net (Set or Fixed),3O,3PS,21287,3NO Atlantic Halibut Fixed Gear < 65',Tonnes,63,0.14,0,769.91,0,0,0,2,2,2,2
2002,130,Halibut,41,Gill Net (Set or Fixed),3PS,3O,20890,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,29,0.02,0,112.5,0,0,0,1,1,1,1
2002,130,Halibut,41,Gill Net (Set or Fixed),3PS,3PS,19139,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,29,0.05,0,276,0,0,0,2,2,0,2
